compounds,name,maxFlux
cpd15336,2-Acyl-sn-glycero-3-phosphoethanolamine dodecanoyl,100
cpd15337,2-Acyl-sn-glycero-3-phosphoethanolamine tetradecanoyl,100
cpd15338,2-Acyl-sn-glycero-3-phosphoethanolamine tetradec-7-enoyl,100
cpd15339,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0),100
cpd15340,2-Acyl-sn-glycero-3-phosphoethanolamine hexadec-9-enoyl,100
cpd15341,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0),100
cpd15342,2-Acyl-sn-glycero-3-phosphoethanolamine octadec-11-enoyl,100
cpd15343,2-Acyl-sn-glycero-3-phosphoglycerol dodecanoyl,100
cpd15344,2-Acyl-sn-glycero-3-phosphoglycerol tetradecanoyl,100
cpd15345,2-Acyl-sn-glycero-3-phosphoglycerol tetradec-7-enoyl,100
cpd15346,2-Acyl-sn-glycero-3-phosphoglycerol hexadecanoyl,100
cpd15347,2-Acyl-sn-glycero-3-phosphoglycerol hexadec-9-enoyl,100
cpd15348,2-Acyl-sn-glycero-3-phosphoglycerol octadecanoyl,100
cpd15349,2-Acyl-sn-glycero-3-phosphoglycerol octadec-11-enoyl,100
cpd15350,2-dodecanoyl-sn-glycerol 3-phosphate,100
cpd15352,2-Demethylmenaquinone 8,100
cpd15353,2-Demethylmenaquinol 8,100
cpd15354,2-hexadec-9-enoyl-sn-glycerol 3-phosphate,100
cpd15355,2-hexadecanoyl-sn-glycerol 3-phosphate,100
cpd15357,2-octadec-11-enoyl-sn-glycerol 3-phosphate,100
cpd15358,2-octadecanoyl-sn-glycerol 3-phosphate,100
cpd15362,2-tetradec-7-enoyl-sn-glycerol 3-phosphate,100
cpd15363,2-tetradecanoyl-sn-glycerol 3-phosphate,100
cpd15386,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate",100
cpd15387,"L-alanine-D-glutamate-meso-2,6-diaminoheptanedioate-D-alanine",100
cpd15392,4-Amino-4-deoxy-L-arabinose modified core oligosaccharide lipid A,100
cpd15396,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramic acid,100
cpd15397,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide,100
cpd15398,N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide,100
cpd15432,core oligosaccharide lipid A,100
cpd15437,coprogen,100
cpd15438,coprogen unloaded (no Fe(III)),100
cpd15457,(enterobacterial common antigen)x4 core oligosaccharide lipid A,100
cpd15459,phosphoethanolamine KDO(2)-lipid (A),100
cpd15460,"ferric 2,3-dihydroxybenzoylserine",100
cpd15466,fructoselysine,100
cpd15468,Glycerophosphoserine,100
cpd15493,cold adapted KDO(2)-lipid (A),100
cpd15494,Maltoheptaose,100
cpd15495,Maltopentaose,100
cpd15497,L-methionine-R-sulfoxide,100
cpd15498,L-Methionine Sulfoxide,100
cpd15499,Menaquinol 8,100
cpd15500,Menaquinone 8,100
cpd15511,"two linked disacharide pentapeptide murein units (uncrosslinked, middle of chain)",100
cpd15512,"three linked disacharide pentapeptide murein units (uncrosslinked, middle of chain)",100
cpd15518,(O16 antigen)x4 core oligosaccharide lipid A,100
cpd15520,O16 antigen undecaprenyl diphosphate,100
cpd15521,"1,2-didodecanoyl-sn-glycerol 3-phosphate",100
cpd15522,"1,2-ditetradecanoyl-sn-glycerol 3-phosphate",100
cpd15523,"1,2-ditetradec-7-enoyl-sn-glycerol 3-phosphate",100
cpd15524,"1,2-dihexadecanoyl-sn-glycerol 3-phosphate",100
cpd15525,"1,2-dihexadec-9-enoyl-sn-glycerol 3-phosphate",100
cpd15526,"1,2-dioctadecanoyl-sn-glycerol 3-phosphate",100
cpd15527,"1,2-dioctadec-11-enoyl-sn-glycerol 3-phosphate",100
cpd15528,phosphatidylethanolamine didodecanoyl,100
cpd15529,phosphatidylethanolamine ditetradecanoyl,100
cpd15530,phosphatidylethanolamine ditetradec-7-enoyl,100
cpd15531,phosphatidylethanolamine dihexadecanoyl,100
cpd15532,phosphatidylethanolamine dihexadec-9enoyl,100
cpd15533,phosphatidylethanolamine dioctadecanoyl,100
cpd15534,phosphatidylethanolamine dioctadec-11-enoyl,100
cpd15535,Phosphatidylglycerol didodecanoyl,100
cpd15536,Phosphatidylglycerol ditetradecanoyl,100
cpd15537,Phosphatidylglycerol ditetradec-7-enoyl,100
cpd15538,Phosphatidylglycerol dihexadecanoyl,100
cpd15539,Phosphatidylglycerol dihexadec-9-enoyl,100
cpd15540,Phosphatidylglycerol dioctadecanoyl,100
cpd15541,Phosphatidylglycerol dioctadec-11-enoyl,100
cpd15542,Phosphatidylglycerophosphate didodecanoyl,100
cpd15543,Phosphatidylglycerophosphate ditetradecanoyl,100
cpd15544,Phosphatidylglycerophosphate ditetradec-7-enoyl,100
cpd15545,Phosphatidylglycerophosphate dihexadecanoyl,100
cpd15546,Phosphatidylglycerophosphate dihexadec-9-enoyl,100
cpd15547,Phosphatidylglycerophosphate dioctadecanoyl,100
cpd15548,Phosphatidylglycerophosphate dioctadec-11-enoyl,100
cpd15551,L-Prolinylglycine,100
cpd15559,psicoselysine,100
cpd15560,Ubiquinone-8,100
cpd15561,Ubiquinol-8,100
cpd15576,undecaprenyl phosphate-4-amino-4-deoxy-L-arabinose,100
cpd15582,"Undecaprenyl-diphospho N-acetylglucosamine-N-acetylmannosaminuronate-N-acetamido-4,6-dideoxy-D-galactose",100
cpd15584,alpha-Methyl-D-glucoside,100
cpd15585,beta-Methylglucoside,100
cpd15603,Gly-Cys,100
cpd15604,Gly-Leu,100
cpd15605,Gly-Phe,100
cpd15606,Gly-Tyr,100
cpd15609,heptadecanoate (C17:0),100
cpd15895,monomethylamine,100
cpd15901,2-oxohexanedioic acid,100
cpd15911,unknown riboflavin degradation product,100
cpd16244,3-(methylsulfanyl)propanal,100
cpd16336,Isoprene,100
cpd16654,tricarballylate,100
cpd16657,ethylsalicylate,100
cpd16658,4-hydroxybenzylacetate,100
cpd16742,pentanesulfonate,100
cpd16872,2-methylbutyl acetate,100
cpd16873,2-methyl-1-butanol,100
cpd16874,2-methylpropanal,100
cpd16877,"N,N-bisformyl-dityrosine",100
cpd16884,isobutyl acetate,100
